048 l 4 b 2;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=214,45,56,102;Ungler1-07_PT03_118 l 4 b 2; ※
048 l 4 b 3;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=300,45,27,102;Ungler1-07_PT03_118 l 4 b 3; ※
048 l 4 b 4;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=357,45,41,102;Ungler1-07_PT03_118 l 4 b 4; ※
048 l 4 b 5;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=432,45,25,102;Ungler1-07_PT03_118 l 4 b 5; ※
048 l 4 b 6;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=485,45,23,102;Ungler1-07_PT03_118 l 4 b 6; ※
048 l 4 b 7;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=539,45,42,102;Ungler1-07_PT03_118 l 4 b 7; ※
048 l 4 b 8;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=610,45,43,102;Ungler1-07_PT03_118 l 4 b 8; ※
048 l 4 b 9;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=685,45,36,102;Ungler1-07_PT03_118 l 4 b 9; ※
048 l 4 b 10;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=755,45,14,102;Ungler1-07_PT03_118 l 4 b 10; ※
048 l 4 b 11;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=805,45,50,102;Ungler1-07_PT03_118 l 4 b 11; ※
048 l 4 b 12;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=886,45,31,102;Ungler1-07_PT03_118 l 4 b 12; ※
048 l 4 b 13;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=953,45,33,102;Ungler1-07_PT03_118 l 4 b 13; ※
048 l 4 b 14;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1016,45,25,102;Ungler1-07_PT03_118 l 4 b 14; ※
