084 l 2 b 30;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1641,245,40,92;Wirzbięta-10+8_PT11_563 l 2 b 30; ※
084 l 2 b 31;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1696,245,42,92;Wirzbięta-10+8_PT11_563 l 2 b 31; ※
084 l 2 b 32;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1755,245,42,92;Wirzbięta-10+8_PT11_563 l 2 b 32; ※
084 l 2 b 33;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1812,245,39,92;Wirzbięta-10+8_PT11_563 l 2 b 33; ※
084 l 3 b 1;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=92,128,44,99;Wirzbięta-10+8_PT11_563 l 3 b 1; ※
084 l 3 b 2;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=149,128,41,99;Wirzbięta-10+8_PT11_563 l 3 b 2; ※
084 l 3 b 3;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=206,128,42,99;Wirzbięta-10+8_PT11_563 l 3 b 3; ※
084 l 3 b 4;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=259,128,58,99;Wirzbięta-10+8_PT11_563 l 3 b 4; ※
084 l 3 b 5;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=332,128,39,99;Wirzbięta-10+8_PT11_563 l 3 b 5; ※
084 l 3 b 6;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=384,128,40,99;Wirzbięta-10+8_PT11_563 l 3 b 6; ※
084 l 3 b 7;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=439,128,42,99;Wirzbięta-10+8_PT11_563 l 3 b 7; ※
084 l 3 b 8;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=497,128,39,99;Wirzbięta-10+8_PT11_563 l 3 b 8; ※
084 l 3 b 9;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=550,128,39,99;Wirzbięta-10+8_PT11_563 l 3 b 9; ※
084 l 3 b 10;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=604,128,55,99;Wirzbięta-10+8_PT11_563 l 3 b 10; ※
084 l 3 b 11;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=674,128,58,99;Wirzbięta-10+8_PT11_563 l 3 b 11; ※
084 l 3 b 12;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=748,128,59,99;Wirzbięta-10+8_PT11_563 l 3 b 12; ※
084 l 3 b 13;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=822,128,62,99;Wirzbięta-10+8_PT11_563 l 3 b 13; ※
084 l 3 b 14;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=903,128,23,99;Wirzbięta-10+8_PT11_563 l 3 b 14; ※
084 l 3 b 15;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=946,128,25,99;Wirzbięta-10+8_PT11_563 l 3 b 15; ※
084 l 3 b 16;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=991,128,29,99;Wirzbięta-10+8_PT11_563 l 3 b 16; ※
084 l 3 b 17;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1039,128,45,99;Wirzbięta-10+8_PT11_563 l 3 b 17; ※
084 l 3 b 18;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1104,128,61,99;Wirzbięta-10+8_PT11_563 l 3 b 18; ※
084 l 3 b 19;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1180,128,44,99;Wirzbięta-10+8_PT11_563 l 3 b 19; ※
084 l 3 b 20;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1241,128,21,99;Wirzbięta-10+8_PT11_563 l 3 b 20; ※
084 l 3 b 21;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1282,128,25,99;Wirzbięta-10+8_PT11_563 l 3 b 21; ※
084 l 3 b 22;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1327,128,41,99;Wirzbięta-10+8_PT11_563 l 3 b 22; ※
084 l 3 b 23;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1384,128,38,99;Wirzbięta-10+8_PT11_563 l 3 b 23; ※
084 l 3 b 24;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1439,128,35,99;Wirzbięta-10+8_PT11_563 l 3 b 24; ※
084 l 3 b 25;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1490,128,36,99;Wirzbięta-10+8_PT11_563 l 3 b 25; ※
084 l 3 b 26;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1542,128,40,99;Wirzbięta-10+8_PT11_563 l 3 b 26; ※
084 l 3 b 27;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1595,128,39,99;Wirzbięta-10+8_PT11_563 l 3 b 27; ※
084 l 3 b 28;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1648,128,40,99;Wirzbięta-10+8_PT11_563 l 3 b 28; ※
084 l 3 b 29;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1702,128,40,99;Wirzbięta-10+8_PT11_563 l 3 b 29; ※
084 l 3 b 30;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1754,128,41,99;Wirzbięta-10+8_PT11_563 l 3 b 30; ※
084 l 4 b 1;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=373,21,95,82;Wirzbięta-10+8_PT11_563 l 4 b 1; ※
